Date,Forecast,Lower_Bound,Upper_Bound
2005-06-30,336879.5401858462,304439.33759729704,368206.3633144609
2005-07-31,375864.0981545209,344343.0279200763,409749.67193615466
2005-08-31,484429.0564468593,454578.5129342449,517469.21371807624
2005-09-30,399402.2185674088,369104.24136996904,432504.4365556928
2005-10-31,741733.1776251327,707939.8301452977,776824.2285053264
2005-11-30,1411102.8152292839,1378594.2143536976,1447705.865763995
2005-12-31,438134.1628401714,404872.84195936855,472016.10001023015
2006-01-31,429622.93117736344,396082.3671295572,460759.26963827194
2006-02-28,351231.56931384036,319061.90238583484,383788.72306681477
2006-03-31,429676.38132595975,401033.9228067376,464919.78909770533
2006-04-30,391364.43166815705,361463.55472652725,426350.4661130077
2006-05-31,506130.59591728996,472973.4975569723,541683.5605122573
